一个	یک (حرف تعریف نامعین)	yī gè
使不能工作	چلاق کردن؛ نقص عضو	shǐ bù néng gōng zuò
主要部分	اصلی	zhǔ yào bù fen
干线	اصلی	gàn xiàn
本土	سرزمین اصلی	běn tǔ
大抵	عمدتا	dà dǐ
主流	جریان اصلی	zhǔ liú
维修	نگهداری کردن	wéi xiū
维护	نگهداری	wéi hù
保持	نگهداری	bǎo chí
宏伟的	شاهانه؛ باعظمت	hóng wěi de
最高权威	جبروت؛ حضرت	zuì gāo quán wēi
威严	جبروت؛ حضرت	wēi yán
主修课	اصلی، عمده	zhǔ xiū kè
成年人	اصلی، عمده	chéng nián rén
多数	غالب؛ اکثریت	duō shù
大半	غالب؛ اکثریت	dà bàn
捏造	آرایش	niē zào
制作	ساخت	zhì zuò
颧骨	مالا	quán gǔ
瘴气	مالاریا؛ نوبه	zhàng qì
疟疾的	مالاریایی؛ نوبه ای	nüè jí de
抱不平的	آماده شورش	bào bù píng de
雄性动物	مرد، مردانه	xióng xìng dòng wù
有恶意的	کج اندیش	yǒu è yì de
坏心肠的	کج اندیش	huài xīn cháng de
蓄意害人	بدنهادی؛ بدذاتی	xù yì hài rén
怀恶意的	خبیث؛ غرضآلود	huái è yì de
恶毒的	خبیث؛ غرضآلود	è dú de
恶性的	خبیث؛ بدخیم	è xìng de
木槌	کلوخ کوب	mù chuí
球棍	کلوخ کوب	qiú gùn
营养失调	سوء تغزیه	yíng yǎng shī diào
营养不良	سوء تغزیه	yíng yǎng bù liáng
麦芽	مالت؛ مالت زدن	mài yá
哺乳动物	پستاندار	bǔ rǔ dòng wù
乳房的	پستانی	rǔ fáng de
经营	مدیریت؛ مدریت	jīng yíng
经理	مدیر	jīng lǐ
管理员	مدیر	guǎn lǐ yuán
管理上的	مدیریتی	guǎn lǐ shǎng de
曼彻斯特	منچستر	màn chè sī tè
命令的	الزامی	mìng lìng de
托管的	الزامی	tuō guǎn de
嘴的上部	زفر	zuǐ de shàng bù
鬃毛	یال	zōng máo
演习	مانور؛ تمرین نظامی	yǎn xí
调遣	مانور؛ تمرین نظامی	diào qiǎn
兽疥癣	گری؛ گرداندن	shòu jiè xuǎn
马槽	آخور	mǎ cáo
牛槽	آخور	niú cáo
成年	مردی؛ رجولیت	chéng nián
癫狂的	مجنون	diān kuáng de
载货单	آشکار کردن	zài huò shàn
运货单	آشکار کردن	yùn huò shàn
宣言	اعلامیه؛ اشعاریه	xuān yán
马尼拉	مانیل؛ کاغذ مانیل	mǎ ní lā
利用	دستکاری کردن	lì yòng
操作	دستکاری	cāo zuò
男性	بشر؛ نژاد انسان	nán xìng
象男人的	مردانه؛ مردوار	xiàng nán rén de
强壮的	مردانه؛ مردوار	qiáng zhuàng de
吗哪天赐食物	گزانگبین	mǎ nǎ tiān cì shí wù
精神食粮	گزانگبین	jīng shén shí liáng
样子	رفتار، روش	yàng zi
庄园	ملک تیولی	zhuāng yuán
采邑	ملک تیولی	cǎi yì
宅邸	کاخ؛ عمارت بزرگ	zhái dǐ
斗篷	غاشیه؛ کلاه توری	dǒu peng
罩子	غاشیه؛ کلاه توری	zhào zi
&.覆盖	غواشی	fù gài
手册	دستی؛ یدی	shǒu cè
手的	دستی؛ یدی	shǒu de
产品	تولید کردن	chǎn pǐn
制造业	تولید	zhì zào yè
肥料	کود کشاورزی	féi liào
粪肥	کود کشاورزی	fèn féi
手稿	دست‌نوشته	shǒu gǎo
原稿	دست‌نوشته	yuán gǎo
地图	نقشه	dì tú
天体图	نقشه	tiān tǐ tú
映射	نقشه کشی	yìng shè
变换	نقشه کشی	biàn huàn
马拉松	ماراتن	mǎ lā sōng
耐力的考验	ماراتن	nài lì de kǎo yàn
大理石	مهره؛ مرمر	dà lǐ shí
石弹	مهره؛ مرمر	shí dàn
大理石纹的	مرمرنما	dà lǐ shí wén de
三月	مارس؛ رژه	sān yuè
母马	مادیان؛ اسب ماده	mǔ mǎ
母驴	مادیان؛ اسب ماده	mǔ lǘ
页边的空白	حاشیه	yè biān de kòng bái
边缘的	حاشیه‌ای	biān yuán de
最低限度的	حاشیه‌ای	zuì dī xiàn dù de
水兵	دریایی	shuǐ bīng
海的	وابسته بدریانوردی	hǎi de
海上的	وابسته بدریانوردی	hǎi shàng de
分数	علامت، علامت گذاشتن	fēn shù
作记号的人	نشانگر	zuō jì hao de rén
记分员	نشانگر	jì fēn yuán
市场	بازار	shì chǎng
品牌	علامت مخصوص	pǐn pái
型号	علامت مخصوص	xíng hào
婚姻	عروسی؛ ازدواج	hūn yīn
结婚	عروسی؛ ازدواج	jié hūn
已婚的	متاهل	yǐ hūn de
婚姻的	متاهل	hūn yīn de
髓	مغز؛ قسمت عمده	suǐ
与结婚	ازدواج کردن	yú jié hūn
娶	ازدواج کردن	qǔ
火星	بهرام؛ مریخ	huǒ xīng
战神	بهرام؛ مریخ	zhàn shén
元帅	مارشال؛ ارتشبد	yuán shuài
陆空军高级将官	مارشال؛ ارتشبد	lù kōng jūn gāo jí jiàng guān
男子名	مارشال	nán zǐ míng
战争的	رزمی	zhàn zhēng de
军事的	رزمی	jūn shì de
烈士	شهید	liè shì
受苦者	شهید	shòu kǔ zhě
殉教	شهادت	xùn jiào
殉难	شهادت	xùn nàn
奇异事物	شگفت داشتن؛ حیرت زده شدن	qí yì shì wù
罕见例子	شگفت داشتن؛ حیرت زده شدن	hǎn jiàn lì zi
阳性	مکر؛ مردانه	yáng xìng
碎麦芽	خمیر کردن؛ درهم وبرهمی	suì mài yá
面具	ماسک	miàn jù
掩饰	ماسک	yǎn shì
泥瓦匠	بنا؛ فراماسیون	ní wǎ jiàng
共济会会员	بنا؛ فراماسیون	gòng jì huì huì yuán
砖石部分	حجاری؛ فراماسیونی	zhuān shí bù fen
大多数	توده؛ کپه کردن	dà duō shù
按摩	مالیدن؛ ماساژ	àn mó
揉	مالیدن؛ ماساژ	róu
大而重的	عظیم؛ گنده	dà ér chóng de
桅	دگل	wéi
硕士	استاد؛ ارباب؛ مسلط شدن	shuò shì
杰作	شاهکار؛ شیرین کاری	jié zuò
名著	شاهکار؛ شیرین کاری	míng zhù
统治权	سیادت؛ تبحر	tǒng zhì quán
垫	حصیر؛ زیر گلدانی	diàn
匹配	مسابقه، مطابقت داشتن	pǐ pèi
火柴制造者	دلاله؛ دلال ازدواج	huǒ chái zhì zào zhě
媒人	دلاله؛ دلال ازدواج	méi ren
配偶	رفیق	pèi ǒu
母亲	سخت شامه؛ نرم شامه	mǔ qīn
脑膜	سخت شامه؛ نرم شامه	nǎo mó
材料	ماده، جنس	cái liào
物资	ماده، جنس	wù zī
母亲的	مادرانه؛ مادروار	mǔ qīn de
母系的	مادرانه؛ مادروار	mǔ xì de
数学的	ریاضی	shù xué de
数学家	ریاضی دان	shù xué jiā
数学	ریاضیات	shù xué
母体	ماتریس	mǔ tǐ
子宫	ماتریس	zǐ gōng
妇女	بیبی؛ سرپرستار	fù nǚ
表面暗淡的	فلز شناسی	biǎo miàn àn dàn de
无光泽的	فلز شناسی	wú guāng zé de
物质	موضوع، اهمیت داشتن	wù zhì
席子	بوریا بافی	xí zi
麻袋	بوریا بافی	má dài
床垫	تشک؛ دوشک	chuáng diàn
空气垫	تشک؛ دوشک	kōng qì diàn
成熟的	بالغ	chéng shú de
到期的	بالغ	dào qī de
成熟	سر رسید	chéng shú
完备	سر رسید	wán bèi
淡而无味的	کسل کننده	dàn ér wú wèi de
令人作呕的	کسل کننده	lìng rén zuò ǒu de
小颚	فک	xiǎo è
颌的	فکی؛ آروارهای	hé de
上颌骨的	فکی؛ آروارهای	shàng hé gǔ de
格言	گفته؛ گفته اخلاقی	gé yán
座右铭	گفته؛ گفته اخلاقی	zuò yòu míng
最大化	به حداکثر رساندن	zuì dà huà
尽量增大	به حداکثر رساندن	jǐn liàng zēng dà
最大量	بیشینه؛ حد اکثر	zuì dà liàng
也许	شاید	yě xǔ
大概	شاید	dà gài
蛋黄酱	مایونز	dàn huáng jiàng
市长	شهردار	shì zhǎng
质量差的	بی چربی؛ بی برکت	zhì liàng chā de
贫乏的	بی چربی؛ بی برکت	pín fá de
膳食	وعده غذایی	shàn shí
意味着	معنی دادن، منظور داشتن	yì wèi zhe
平均数	معنی دادن، منظور داشتن	píng jūn shù
意义	معنی	yì yì
意味深长的	معنی‌دار	yì wèi shēn cháng de
吝啬	پستی؛ خست	lìn sè
卑鄙	پستی؛ خست	bēi bǐ
间隔时间	در ضمن	jiàn gé shí jiān
其时	در ضمن	qí shí
其间	ضمنا؛ درضمن	qí jiān
麻疹	سرخجه؛ سرخچه	má zhěn
风疹	سرخجه؛ سرخچه	fēng zhěn
可测量的	پیمایش پذیر	kě cè liáng de
不久的	پیمایش پذیر	bù jiǔ de
量度器	اندازه؛ اقدام	liáng dù qì
度量	سنجش؛ پیمایش	dù liàng
餐	گوشت	cān
机械工	مکانیک	jī xiè gōng
机械的	مکانیکی	jī xiè de
机械性的	مکانیکی	jī xiè xìng de
机械学	مکانیک	jī xiè xué
机械	مکانیزم	jī xiè
教育学硕士	مسحور	jiào yù xué shuò shì
奖牌	مدال	jiǎng pái
干预	فضولی کردن	gān yù
媒体	رسانه	méi tǐ
中间的	مادی	zhōng jiān de
居间的	وساطت کردن؛ میانجی شدن	jū jiān de
传递者	میانجی	chuán dì zhě
体格检查	پزشکی	tǐ gé jiǎn chá
药物治疗	دارو	yào wù zhì liáo
药物处理	دارو	yào wù chǔ lǐ
药用的	دارایی؛ داروئی	yào yòng de
药的	دارایی؛ داروئی	yào de
医学	دارو	yī xué
中古的	قرون وسطایی	zhōng gǔ de
中世纪的	قرون وسطایی	zhōng shì jì de
冥想	مراقبه	míng xiǎng
地中海	مدیترانه؛ دریای مدیترانه	dì zhōng hǎi
方法	متوسط؛ رسانه	fāng fǎ
温顺的	افتاده؛ فقیرانه	wēn shùn de
逆来顺受的	افتاده؛ فقیرانه	nì lái shùn shòu de
会	ملاقات کردن	huì
会面	جلسه	huì miàn
悲哀	سودا زدگی	bēi āi
旋律美妙的	بانوا؛ ملیح	xuán lǜ měi miào de
旋律优美的	بانوا؛ ملیح	xuán lǜ yōu měi de
曲子	ملودی	qǔ zi
美妙音乐	ملودی	měi miào yīn yuè
瓜	خربزه؛ خربوزه	guā
熔化	گداختن؛ آب کردن	róng huà
成员	عضو	chéng yuán
会员	عضو	huì yuán
会员的资格	عضویت	huì yuán de zī gé
全体会员	عضویت	quán tǐ huì yuán
羊皮纸	غشاء؛ شامه	yáng pí zhǐ
膜的	غشادار	mó de
膜性的	غشادار	mó xìng de
备忘录	یادداشت	bèi wàng lù
实录	خاطرات	shí lù
值得纪念的	به یاد ماندنی	zhí de jì niàn de
难忘的	به یاد ماندنی	nán wàng de
便笺	تذکاریه؛ شرکت نامه	biàn jiān
纪念物	یادبود	jì niàn wù
请愿书	یادبود	qǐng yuàn shū
记忆	حافظه	jì yì
回忆	حافظه	huí yì
胁迫	چشم زهره گرفتن؛ چشم زهره رفتن	xié pò
修补	بندزدن	xiū bǔ
脑膜炎	مننژیت	nǎo mó yán
心智的	روانی؛ فکری	xīn zhì de
精神病的	روانی؛ فکری	jīng shén bìng de
精神力	طرز فکر؛ قوه ذهنی	jīng shén lì
心理上	فکرا	xīn lǐ shǎng
精神上	فکرا	jīng shén shǎng
提到	اشاره کردن	tí dào
言及	اشاره کردن	yán jí
良师益友	مربی	liáng shī yì yǒu
菜单	منو	cài dān
选择单	منو	xuǎn zé shàn
店主	بازرگان	diàn zhǔ
水星的	جیوه دار	shuǐ xīng de
水银	جیوه؛ سیماب	shuǐ yín
汞	جیوه؛ سیماب	gǒng
小湖	صرفاً	xiǎo hú
池塘	صرفاً	chí táng
只	صرفاً	zhǐ
使合并	ادغام کردن	shǐ hé bìng
使消失	ادغام کردن	shǐ xiāo shī
归并	ادغام	guī bìng
子午线	درجه کمال؛ مدار نصف النهار	zǐ wǔ xiàn
经线	درجه کمال؛ مدار نصف النهار	jīng xiàn
美索不达米亚	بین النهرین	měi suǒ bù dá mǐ yà
通讯	پیام	tōng xùn
报信者	فرستاده؛ رسول	bào xìn zhě
新陈代谢	متابولیزم؛ سوخت و ساز	xīn chén dài xiè
变态	متابولیزم؛ سوخت و ساز	biàn tài
金属	فلز	jīn shǔ
合金	فلز	hé jīn
金属的	روئین	jīn shǔ de
蜕变	دگردیسی؛ مسخ	tuì biàn
变质	دگردیسی؛ مسخ	biàn zhì
隐喻	استعاره	yǐn yù
比喻地	بر سبیل استعاره	bǐ yù de
隐喻地	بر سبیل استعاره	yǐn yù de
形而上学的	علوم معقول؛ ماوراء الطبیعی	xíng ér shàng xué de
纯粹哲学的	علوم معقول؛ ماوراء الطبیعی	chún cuì zhé xué de
形而上学	ماوراءالطبیعه؛ ماوراء طبیعت	xíng ér shàng xué
玄学	ماوراءالطبیعه؛ ماوراء طبیعت	xuán xué
方法学	روش‌شناسی	fāng fǎ xué
方法论	روش‌شناسی	fāng fǎ lùn
公尺	متر	gōng chǐ
格律	متر	gé lǜ
大都市	مادرشهر؛ شهر بزرگ	dà dū shì
重要中心	مادرشهر؛ شهر بزرگ	zhòng yào zhōng xīn
大都市居民	مطران؛ مطرانی	dà dū shì jū mín
都主教	مطران؛ مطرانی	dū zhǔ jiào
耐力	خمیره	nài lì
墨西哥人	مکزیکی	mò xī gē rén
墨西哥语	مکزیکی	mò xī gē yǔ
墨西哥	مکزیک؛ مکزیکو	mò xī gē
密歇根州	میشیگان	mì xiē gēn zhōu
"微"	میکرو؛ میلیونیم	wēi
"微量"	میکرو؛ میلیونیم	wēi liàng
扩音器	میکروفن	kuò yīn qì
麦克风	میکروفن	mài kè fēng
显微镜	ریزبین؛ میکروسکپ	xiǎn wēi jìng
正午	نیمروز	zhèng wǔ
中午	نیمروز	zhōng wǔ
中央	میانه	zhōng yāng
中间	میانه	zhōng jiān
中等的	جمله مشترک	zhōng děng de
普通的	جمله مشترک	pǔ tōng de
午夜	نیمه‌شب	wǔ yè
子夜	نیمه‌شب	zǐ yè
中途	وسط مسیر	zhōng tú
助产士	ماما؛ ماماچه	zhù chǎn shì
接生婆	ماما؛ ماماچه	jiē shēng pó
有势力的人	توانا؛ اقویا	yǒu shì li de rén
强大的	توانا؛ اقویا	qiáng dà de
移往	کوچیدن؛ کوچ دادن	yí wǎng
迁移的	مهاجرت کننده	qiān yí de
流浪的	مهاجرت کننده	liú làng de
温柔的	نرم؛ ملایم	wēn róu de
柔和地	نرم نرم	róu hé de
和善地	نرم نرم	hé shàn de
英里	مایل	yīng lǐ
很大距离	مایل	hěn dà jù lí
义勇军	شبه‌نظامیان	yì yǒng jūn
民兵组织	شبه‌نظامیان	mín bīng zǔ zhī
奶	شیر	nǎi
乳状物	شیر	rǔ zhuàng wù
乳状的	شیری؛ شیردار	rǔ zhuàng de
乳白色的	شیری؛ شیردار	rǔ bái sè de
压榨机	آسیاب	yā zhà jī
磨坊	آسیاب	mò fáng
千禧年	هزاره؛ هزارمین سال	qiān xǐ nián
一千年	هزاره؛ هزارمین سال	yī qiān nián
厂主	آسیابان؛ میلر	chǎng zhǔ
蛾	آسیابان؛ میلر	é
百万	میلیون	bǎi wàn
无数	میلیون	wú shù
百万富翁	میلیونر	bǎi wàn fù wēng
大富豪	میلیونر	dà fù háo
仿制	ادا و اطوار	fǎng zhì
部长	مین	bù zhǎng
思想	ذهن، اهمیت دادن	sī xiǎng
愿望	ذهن، اهمیت دادن	yuàn wàng
深切注意的	در فکر	shēn qiè zhù yì de
留神的	در فکر	liú shén de
矿	مال من	kuàng
地雷	مال من	dì léi
矿工	معدنچی	kuàng gōng
开矿机	معدنچی	kāi kuàng jī
矿物	معدنی	kuàng wù
无机物	معدنی	wú jī wù
最小的	حداقل	zuì xiǎo de
最小化	به حداقل رساندن	zuì xiǎo huà
尽量减少	به حداقل رساندن	jǐn liàng jiǎn shǎo
最低的	اقل؛ حد اقل	zuì dī de
采矿	معدن	cǎi kuàng
部长的	اداری؛ وزارتی	bù zhǎng de
内阁的	اداری؛ وزارتی	nèi gé de
部	وزارتخانه	bù
未成年人	فرعی؛ اصغر	wèi chéng nián rén
副修科目	فرعی؛ اصغر	fù xiū kē mù
未成年	اقلیت؛ صغارت	wèi chéng nián
薄荷	نعناع	bò he
造币厂	نعناع	zào bì hǎn
负号	منها	fù hào
奇迹	معجزه	qí jì
奇事	معجزه	qí shì
奇迹的	معجزه آمیز؛ معجزه آسا	qí jì de
不可思议的	معجزه آمیز؛ معجزه آسا	bù kě sī yì de
镜子	آینه	jìng zi
写真	آینه	xiě zhēn
误送	عدمتوفیق	wù sòng
淘气的	شریر؛ مفسد	táo qì de
办错	بدرفتاری؛ سوء رفتار	bàn cuò
使行为不端	بدرفتاری؛ سوء رفتار	shǐ xíng wéi bù duān
悲惨	بدبختی	bēi cǎn
误导	منحرف کردن؛ گمراه کردن	wù dǎo
引入歧途的	گمراه‌کننده	yǐn rù qí tú de
被误导的	گمراه؛ ضال	bèi wù dǎo de
错位的	جابجا شده	cuò wèi de
寄托错的	جابجا شده	jì tuō cuò de
施暴政	سوء اداره	shī bào zhèng
失误	از دست دادن، دلتنگ شدن	shī wù
发射物	موشک	fā shè wù
导弹	موشک	dǎo dàn
不见的	گمشده	bù jiàn de
传教士	مبلغ	chuán jiào shì
负有任务者	مبلغ	fù yǒu rèn wu zhě
拼写错	مصحف	pīn xiě cuò
姑娘	دختر خانم	gū niang
迷蒙	غبار	mí méng
误会	اشتباه	wù huì
犯错的	مشتبه؛ اشتباهی	fàn cuò de
误解	بد شناختن؛ بد فهمیدن	wù jiě
暴民	اوباش	bào mín
民众	اوباش	mín zhòng
易变的	متحرک، موبایل	yì biàn de
可动性	تحرک	kě dòng xìng
流动性	تحرک	liú dòng xìng
动员	بسیج کردن	dòng yuán
调动	بسیج کردن	diào dòng
戏弄	مسخره کردن؛ استهزاء کردن	xì nòng
模态	حالت	mó tài
调式	حالت	diào shì
模型	مدل	mó xíng
模特	مدل	mó tè
适度的	متعادل	shì dù de
稳健的	متعادل	wěn jiàn de
适度地	معتدلانه	shì dù de
适度	اعتدال؛ تعادل	shì dù
现代人	مدرن	xiàn dài rén
有思想的人	مدرن	yǒu sī xiǎng de rén
质朴	شرم؛ عفت	zhì pǔ
修正	اصلاح	xiū zhèng
多雨的	تر؛ نمناک	duō yǔ de
弄湿的	نمزده	lòng shī de
水分	نمداری	shuǐ fèn
糖蜜	ملاس	táng mì
模子	قالب؛ کپک قارچی	mú zi
摩尔达维亚	ملداوی	mó ěr dá wéi yà
痣	خال	zhì
