एक	یک (حرف تعریف نامعین)	ek
देरतक	دیر	deratak
हाल में	اخیراً	haal men
हाल ही में	اخیراً	haal hii men
बाद	بعدا؛ دیرتر	baad
पार्श्वीय	جانبی؛ جناحی	paarshviiy
पार्श्विक	جانبی؛ جناحی	paarshvik
खराद	چرخ خراطی	kharaad
लैटिन	لاتین	laitin
लैटिनअ	لاتین	laitina
अक्षांश	عرض	akshaansh
अनुवर्ती	دومی	anuvartii
अफ़ीम की औषधि	مخلوط افیون	afiim kii aushadhi
लॉडेनम	مخلوط افیون	lodenam
हँसी	خنده، خندیدن	hansii
मुस्कुराहट	خنده، خندیدن	muskuraahat
हँसी का पात्र	مظحکه	hansii kaa paatr
हँसी का पाट्र	مظحکه	hansii kaa paatr
ह्ँसी	خنده	hnsii
क़हक़हा	خنده	qahaqahaa
छोडना	روانهسازی؛ روانه کردن	chhodanaa
प्रारंभ करना	روانهسازی؛ روانه کردن	praaranbh karanaa
लरेल	دهمست؛ درخت غار	larel
लावा	گدازه	laavaa
फिजूलखर्च	خراج؛ مبذر	phijuulakharch
नियम	قانون	niyam
कानून तोड़ना	قانون شکنی	kaanuun toranaa
कानून-भंग	قانون شکنی	kaanuun-bhang
वैध	مجاز؛ مشروع	vaidh
अराजक	بی قانونی	araajak
विधिहीन	بی قانونی	vidhihiin
मलमल	چمن	malamal
मुकदमा	دعوی حقوقی	mukadamaa
नालिश	دعوی حقوقی	naalish
ढीलापन	لینت	dhiilaapan
मुर्गी	طبقه؛ لا	murgii
नक्शा	طرح‌بندی	nakshaa
खाका	طرح‌بندی	khaakaa
आलस	تنبلی؛ بیعاری	aalas
सुस्त	تنبل	sust
नेतृत्व करना	رهبری کردن	netritv karanaa
सीसा	رهبری کردن	siisaa
नेता	رهبر	netaa
नेताआ	رهبر	netaa
नेतालोग	سری؛ رهبری	netaalog
पत्ता	برگ؛ برگ دادن	pattaa
पुस्तिका	بروشور	pustikaa
पत्रक	بروشور	patrak
घना	برگدار؛ پر برگ	ghanaa
पत्तेदार	برگدار؛ پر برگ	pattedaar
स्तर	گروه ورزشی	star
रिसाव	نشت، نشت کردن	risaav
रहस्योद्घाटन	چکه؛ تراوش	rahasyodghaatan
दुबला	وادادن؛ لخم	dubalaa
कूद	جهش	kuud
सीखना	یاد گرفتن	siikhanaa
सीखने वाला	یادگیرنده	siikhane vaalaa
अधिगम	یادگیری	adhigam
पट्टे पर देना	اجاره؛ اجاره کردن	patte par denaa
चेन	مرس؛ بند زدن	chen
रस्सी से बाँधना	مرس؛ بند زدن	rassii se baandhanaa
न्यूनतम	کمترین	nyuunatam
प्रस्थान करना	ترک کردن	prasthaan karanaa
व्याख्यान	سخنرانی، سخنرانی کردن	vyaakhyaan
लम्बा कथन	سخنرانی، سخنرانی کردن	lambaa kathan
लेक्चरर	مدرس؛ سخنران	lekcharar
व्याख्याता	مدرس؛ سخنران	vyaakhyaataa
बही खाता	دفتر کل	bahii khaataa
जोंक	علقه؛ زالو	jonk
बायाँ	چپ، باقی مانده	baayaan
छोड़ा हुआ	چپ، باقی مانده	chhoraa huaa
रान	پا	raan
पैर	پا	pair
कानूनी	قانونی؛ مشروع	kaanuunii
वैग	قانونی؛ مشروع	vaig
आलेख	افسانه	aalekh
पौराणिक	افسانه‌ای	pauraanik
पादावरण	پاتابه	paadaavaran
चुस्त पैंट	پاتابه	chust paint
सैन्य दल	لژیون؛ سپاه رومی	sainy dal
विधान	قانون‌گذاری	vidhaan
वैधानिक	قانون‌گذاری	vaidhaanik
विधि संबंधी	قانون‌گذاری	vidhi sanbandhii
विधायक	شارع؛ مقنن	vidhaayak
विधानमंडल	قوه مقننه	vidhaanamandal
विधानमण्डल	قوه مقننه	vidhaanamandal
युक्ति संगत	مشروع	yukti sangat
फुरसत	فراغت؛ وقت کافی	phurasat / khaalii samay / phurasat
खाली समय/फुरसत	فراغت؛ وقت کافی	phurasat / khaalii samay / phurasat
इत्मीनान भरा	تفریحانه	itmiinaan bharaa
नींबू	لیمو	niinbuu
लेमोनेड	لیموناد؛ شربت آبلیمو	lemoned
नींबूपानी	لیموناد؛ شربت آبلیمو	niinbuupaanii
उधारदाता	وام ده	udhaaradaataa
लम्बा करना	دراز کردن؛ دراز شدن	lambaa karanaa
लम्बा	طولانی	lambaa
बहुत लंबा	طولانی	bahut lanbaa
लेन्स	لنز	lens
लेंस	لنز	lens
चरकी	جذامی	charakii
कोढ/कुष्ट रोग	جذام؛ خوره	kodh / kusht rog
समलिंग कामी महिला	لزبین	samaling kaamii mahilaa
थोड़ा सा	کمتر	thoraa saa
घटना/कम होना	کمتر شدن	kam karanaa / ghatanaa / kam honaa
न्यूनतर	کمتر	nyuunatar
उदाहरण	درس	udaaharan
अनुमति देना	اجازه دادن	anumati denaa
सुस्ती	تهاون؛ سبات	sustii
अलसता	تهاون؛ سبات	alasataa
तटबंध	بارعام دادن؛ سلام عام	tatabandh
छिछलापन	سبک سری	chhichhalaapan
उगाही	مالیات بندی؛ نام نویسی	ugaahii
शाब्दिक	لغوی	shaabdik
कोश विषयक	لغوی	kosh vishayak
दायित्व	مشمولیت	daayitv
लबार	دروغگو؛ چاخان	labaar
उदारपंथी	آزاداندیش	udaarapanthii
उदारतावाद	آزادمنشی؛ آزادگی	udaarataavaad
उदार विचार धारा	آزادمنشی؛ آزادگی	udaar vichaar dhaaraa
आज़ादी	آزادی	aazaadii
परिमोचक	آزاد کننده؛ نجات دهنده	parimochak
ग्रंथागारिक	کتابدار	granthaagaarik
पुस्तकालयाध्यक्ष	کتابدار	pustakaalayaadhyaksh
किताबघर	کتابخانه	kitaabaghar
पुस्तकालय	کتابخانه	pustakaalay
स्वच्छंदता	مجوز؛ پروانه دادن	svachchhandataa
शैवाल	گل سنگ	shaivaal
लाइकेन	گل سنگ	laaiken
चाँटना	لیس؛ لیسه	chaantanaa
चाटना	لیس؛ لیسه	chaatanaa
रूकावट	سر؛ دریچه گذاشتن	ruukaavat
लेटना	دراز کشیدن	letanaa
ळेटना	دراز کشیدن	ळेtanaa
लेफ्टिनेंट	ستوان	lephtinent
आजीवन	مادام‌العمر	aajiivan
जीवनचर्या	سبک زندگی	jiivanacharyaa
जीवन शैली	سبک زندگی	jiivan shailii
जीवनकाल	طول عمر	jiivanakaal
अस्थिबंध	بندیزه	asthibandh
स्नायु रज्जुक	بندیزه	snaayu rajjuk
चमक उठना	سبک کردن؛ تنویر کردن	chamak uthanaa
हल्का करना	سبک کردن؛ تنویر کردن	halkaa karanaa
प्रसन्न चित्त	سبکبار؛ مشرور	prasann chitt
प्रकाश व्यवस्था	نورپردازی	prakaash vyavasthaa
भारहीनता	خفت؛ سبکی	bhaarahiinataa
संभावना	احتمال	sanbhaavanaa
संभवतः	احتمالی	sanbhavath
तुलना करना	مشبه	tulanaa karanaa
तुलनात्मकता	سان؛ مثال	tulanaatmakataa
इसी तरह	به همین ترتیب	isii tarah
नीलक	یاس شیروانی	niilak
लाइलैक	یاس شیروانی	laailaik
कुमुदिनी	سوسنی؛ گلایل	kumudinii / kumudinii / lilii
कुमुदिनी/लिली	سوسنی؛ گلایل	kumudinii / kumudinii / lilii
लिंबो नृत्य	برزخ	linbo nrity
अनिश्चित स्थिति	برزخ	anishchit sthiti
लासा	آهک؛ سنگ آهک	laasaa
चूना पत्थर	سنگ آهک	chuunaa patthar
चूने वाला पत्थर	سنگ آهک	chuune vaalaa patthar
निःसीम	بیحد؛ بی نهایت	nihsiim
लिंकन	لینکلن	linkan
रेखा	خط	rekhaa
रेखीय	خطی	rekhiiy
लकीरी	خطی	lakiirii
लिनेन	کتانی؛ کتان	linen
सन का कपड़ा	کتانی؛ کتان	san kaa kaparaa
शृंखला	صف‌آرایی، ترکیب	shrinkhalaa
ठहराना	معطل ماندن	thaharaanaa
रुका रहना	معطل ماندن	rukaa rahanaa
लिनोलियम	مشمع	linoliyam
अलसी	بزرک؛ برزگ	alasii
शेर	شیر	sher
द्रवीकरण	آبگونسازی	draviikaran
तरल बनाना	ذوب شدن	taral banaanaa
स्पष्ट और स्वच्छ	مایع؛ ماچی	spasht aur svachchh
तुतलाहट	شلی زبان	tutalaahat
तुतलाना	شلی زبان	tutalaanaa
द्यनफूर्वक सुनना	گوش دادن	dyanaphuurvak sunanaa
नामांकन सूची	فهرست‌بندی	naamaankan suuchii
साक्षरता	سواد	saaksharataa
अक्षर	به معنای واقعی کلمه	akshar
वस्तुत	به معنای واقعی کلمه	vastut
साहित्य	ادبی	saahity
साहित्यिक	ادبی	saahityik
साक्षर	باسواد	saakshar
मुद्रित	ادبیات؛ ادب وهنر	mudrit
सुनम्य	لاغر اندام	sunamy
लिथूआनिया	لیتوانی	lithuuaaniyaa
मुकदमेबाज़ी	دعوا؛ دعوی	mukadamebaazii
मुकदमे बाजी	دعوا؛ دعوی	mukadame baajii
लीटर	لیتر	liitar
महत्वहीन	کمی (قید)؛ کمی، کوچک	mahatvahiin
जीवित	زندگی کردن	jiivit
आजीविका	معیشت؛ عقل معاش	aajiivikaa
जिगर	کبد	jigar
लीवर	کبد	liivar
वर्दीधारी	در کسوت	vardiidhaarii
लिवरपूल	لیورپول	livarapuul
वर्दी	لباس مستخدم؛ علیق اسب	vardii
नीलाभ	کبود شده	niilaabh
रोटी	تکه؛ ولگردی کردن	rotii
पावरोटी	تکه؛ ولگردی کردن	paavarotii
आवारा	بیکاره	aavaaraa
लफंगा	بیکاره	laphangaa
उधार	عاریه؛ وام	udhaar
नफ़रत करना	منزجر بودن؛ سبب بیزاری	nafarat karanaa
प्रतीक्षा कक्ष	لابی، لابی کردن	pratiikshaa kaksh
लाबी{पक्ष मे जनमत}	لابی، لابی کردن	laabii{paksh me janamat}
समुद्री झींगा	خرچنگ	samudrii jhiingaa
स्थानीय	محلی	sthaaniiy
स्थित	ساکن	sthit
स्थापन	محل	sthaapan
उलझना	قفل، قفل کردن	ulajhanaa
मोडना	قفل، قفل کردن	modanaa
हवालात	زندانکردن	havaalaat
गतिशीलता	نقل وانتقال	gatishiilataa
इंजन	لکوموتیو؛ نیروی محرکه	injan
गतिचालक	حرکتی؛ نقص تحرک	gatichaalak
चलन-संबंधी	حرکتی؛ نقص تحرک	chalan-sanbandhii
बिंदुपथ	مکان هندسی	bindupath
मकान	بیتوته کردن؛ ماوا دادن	makaan
लौज	بیتوته کردن؛ ماوا دادن	lauj
निवास	منزل گاه؛ محل سکونت	nivaas
अहंकारी	سنی؛ منیع	ahankaarii
लट्ठा	گزارش، ثبت کردن	latthaa
तर्कविधा	منطق	tarkavidhaa
तार्किक	منطقی	taarkik
तर्क संगत	منطقی	tark sangat
लग इन करना	قطع ارتباط	lag in karanaa
कटि	گرد	kati
आवारा फिरना	پرسه زنی	aavaaraa phiranaa
मटरगश्ती करना	پرسه زنی	mataragashtii karanaa
लंदन	لندن	landan
अकेलापन	تنهایی؛ غریبی	akelaapan
लंबा	بلند، طولانی	lanbaa
अधोमुखी	طولی	adhomukhii
देशांतरीय	طولی	deshaantariiy
दीर्घकालिक	دیرینه	diirghakaalik
दीर्घकालीन	طولانی‌مدت	diirghakaaliin
अरसा	طولانی‌مدت	arasaa
पहरेदार	چشم انداز	paharedaar
चौकी	چشم انداز	chaukii
हावी होना	در افق پدیدار شدن	haavii honaa
