nodule	قلنبه کوچک	naajul
noise	سر و صدا	noyz
noisy	پر سر و صدا	noyzi
nomenclature	مجموعه لغات	nomankleycher
nominal	اعتباری؛ اسمی	naamanel
nominate	نامزد کردن	naamanat / naamaneyt
nomination	نامزدی	naamaneyshen
nominee	نامزد	naamani
nonchalance	سهل انگاری	naanshalaans
nonconformist	نامقلد؛ ناپیرو	naankanformist
nondescript	وصف ناپذیر	naandiskript
none	هیچ کدام	nan
nonetheless	با این حال	nandhales
non-profit	غیرانتفاعی	naanprofit / naanprofat
nonsense	بی‌معنی	naansens
noon	ظهر	nun
no one	هیچ کس	no wan
noose	خفت کردن؛ در کمند انداختن	nus
nor	و نه؛ همچنین نه	nor
norm	هنجار	norm
normal	عادی	normel
normalize	عادی کردن	normalaiz
normally	به طور عادی	normali / normli
north	شمال	north
northeast	شمال شرقی؛ شمال شرق	northist
northerly	شمالً	nordherli
northern	شمالی	nordhern
northward	شمالا؛ قسمت شمالی	northwerd
northwest	شمال غربی؛ شمال قرب	northwest
northwestern	شمال غربی؛ شمال قربی	northwestern
nose	بینی	noz
nostrils	منخرین	naastralz
not	نه	naat
notable	قابل توجه	notabel
notables	عظام	notabalz
notably	به ویژه	notabli
notch	فرورفتگی؛ چوبخط زدن	naach
note	یادداشت	not
notebook	دفترچه یادداشت	notbuk
noteworthy	گفتنی؛ قابل دقت	notwerdhi
nothing	هیچ چیز	nathing
notice	اطلاع، متوجه شدن	notas / notis
notify	اطلاع دادن	notafai
notion	صرافت	noshen
notorious	بدنام	notorias
notoriously	علانیتا	notoriasli
noun	اسم	naun
nourish	قوت دادن	nerish
nourishing	مغذی	nerishing
nourishment	غذا؛ تغذی	nerishmant
nous	قوه ادراک	nus
novel	رمان؛ رمان، جدید	naavel
novelist	رمان‌نویس	naavalast
novelty	طرفه؛ تازگی	naavalti
november	نوامبر	november
novice	جدیدالایمان؛ مبتدی	naavas
now	الان	nau
nowadays	امروزه	nauadeyz
nowhere	هیچ جا	nower / nohwer
noxious	مضر	naakshas
nuclear	اتمی؛ هسته ای	nuklier
nucleus	هسته؛ هستک	nuklias
nudging	سقلمه	najing
nuisance	مایه رنجش	nusans
null	تهی	nel
nullify	لغو کردن	nalafai
numb	سر؛ بیحس کردن	nam
number	شماره؛ شماره گذاری کردن	namber
numbness	خدر؛ خواب رفتگی	namnas
numerical	عددی؛ رقومی	numerakel / numerikel
nun	راهبه؛ زن تارک دنیا	nan
nur	نور	nur
nurse	پرستار	ners
nursery	مهد کودک	nerseri
nursing	پرستاری	nersing
nut	آجیل	nat
nutrient	ماده مغذی	nutriant
nutrition	تغذیه	nutrishen
nutshell	ملخص کلام	natshel
oar	پارو	or
oasis	واحه	oeysis
oath	سوگند؛ یمین	oth
obdurate	سرخت؛ سخت دل	aabderat
obedience	اطاعت؛ تمکین	obidians
obedient	مطیع؛ چاکر	obidiant
obese	تپل	obis / abis
obesity	چاقی	obisiti / abisiti
obey	چاکری کردن؛ فرمانبرداری کردن	obey
object	شیء	aabjekt / abjekt
objection	اعتراض	abjekshen
objectionable	ناشایسته؛ قابل اعتراض	abjekshenabel
objective	هدف؛ عینی	abjektiv
obligation	فرض؛ التزام	aablageyshen
obligatory	الزام آور	abligatori
oblige	مجبور کردن	ablaij
obliging	منت گذار	ablaijing
oblique	مورب	ablik
obliterate	معدوم کردن؛ در نوشتن	ablitereyt
oblivion	فراموشی	ablivian
oblivious	فراموشکار	ablivias
obnoxious	گزندآور؛ زیان بخش	aabnaakshas
obscure	تار؛ غامض	abskyur
obscurity	تیرگی؛ تعسر	abskyuriti
obsequious	مزاج گو	absikwias
observant	مراقب؛ مراعات کننده	abzervant
observation	ملاحظه؛ تماشا	aabzerveyshen
observe	ملاحظه کردن؛ مشاهده کردن	abzerv
observer	ناظر	abzerver
obsess	وسواس داشتن	abses
obsession	وسواس	abseshen
obsolete	مهمل؛ مهجور	aabsalit
obstacle	مانع	aabstakel
obstinacy	معاندت؛ خیره سری	aabstanasi
obstinate	معاند؛ متعند	aabstanat
obstruct	اشکالتراشی کردن؛ کارثکنی کردن	abstrakt
obstruction	گرفتگی؛ سده	abstrakshen
obtain	اخذ کردن؛ اکتساب کردن	abteyn
obtainable	قابل حصول؛ بدست آوردنی	abteynabel
obvious	پیدا؛ آشکار	aabvias
occasion	مناسبت؛ اقتضاء	akeyzhen
occasional	گاه به گاه	akeyzhenel
occasionally	گاهی؛ گهگاه	akeyzhenali / akeyzhnali
occupancy	سکونت	aakyapansi
occupation	شغل	aakyapeyshen
occupy	اشغال کردن	aakyapai
occur	رخ دادن	aker
occurrence	وقوع	akerans
ocean	اقیانوس	oshen
o'clock	ساعت	aklaak
october	اکتبر	aaktober
ocular	چشمی؛ باصرهای	okyuler
odd	فرد؛ عجیب	aad
odds	شانس	aadz
ode	چکامه	od
odious	نفرت انگیز؛ کراهت آور	odias
odor	عطر؛ رایحه	oder
oeuvre	کار عمده؛ کار حیاتی	uvra / erv
of	از	av
off	خاموش، خارج از	of
offend	دلگیرکردن؛ اهانت کردن	afend
offender	متخلف	afender
offense	خلاف؛ اهانت	afens
offensive	رنجاننده؛ موهن	afensiv
offer	پیشنهاد، پیشنهاد دادن	ofer
offering	پیشنهاد	ofering / ofring
offhand	بداهه؛ بی تهیه	ofhand
office	دفتر	ofis
officer	افسر	ofaser / ofiser
official	مقام؛ رسمی	afishel
officially	رسما؛ رسمانه	afishali
offset	افست	ofset
offspring	فرزندان	ofspring
oft	کثیر الوقوع	oft
often	اغلب	ofan / oftan
oh	اوه	o
oil	روغن	oyl
oily	چرب؛ دهنی	oyli
ointment	مرهم؛ مالیدنی	oyntmant
ok	خوب	okey
okay	صحیح است	okey
old	پیر، قدیمی	old
olive	زیتون؛ درخت زیتون	aalav / aaliv
omelet	خاگینه	aamlat
omen	فال؛ اوعور	oman
ominous	شوم؛ نامیمون	aamanas
omission	افتادگی؛ فروگذاری	omishen
omit	حذف کردن؛ از قلم انداختن	omit
omnipotence	قدرت مطلق؛ قادر مطلق	aamnipatans
on	بر روی	aan / on
once	یک بار	wans
oncoming	روی دهنده؛ جلو رونده	onkaming
one	یک	wan
onerous	کمر شکن؛ طاقت فرسا	oneras
oneself	خویش؛ خود شخص	wanself
ongoing	در حال انجام	aangoing / ongoing
onion	پیاز	anyan
online	آنلاین	onlain
only	فقط	onli
onto	روی	aantu / ontu
onward	بجلو؛ به پیش	onwerd
opal	عینالهر؛ عین الشمس	opel
opaque	مات؛ غیر شفاف	opeyk
open	باز، باز کردن	opan
opening	دهانه؛ افتتاح؛ فرصت شغلی	opaning
openly	آشکارا	opanli
opera	اپرا	aapra
operation	عملیات؛ عمل جراحی	aapereyshen
operational	عملیاتی	aapereyshenel
operator	اپراتور	aapereyter
opinion	نظر	apinyan
opium	افیون؛ تریاک	opiam
opponent	مقاوم؛ دشمن	aponant
opportune	بموقع؛ بهنگام	aapertun
opportunity	فرصت	aapertuniti
oppose	مخالفت کردن؛ متضاد کردن	apoz
opposite	مقابل، روبرو	aapazat / aapzat
opposition	مخالفت؛ طرفیت	aapazishen
oppress	جور کردن؛ جبر کردن	apres
oppressed	مظلوم؛ مظلومیت	aprest
oppression	جور؛ بیداد	apreshen
oppressive	ستمگر؛ زورگو	apresiv
oppressors	مستبدین	apreserz
opt	انتخاب کردن	aapt
optic	چشمی؛ شیشه عینک	aaptik
optical	نوری	aaptikel
optimism	خوشبینی	aaptamizam
optimistic	خوشبین	aaptamistik
option	گزینه	aapshen / opshen
optional	اختیاری؛ خیاری	aapshenel / opshenel
or	یا	or / er
oral	شفاهی	orel
orange	پرتقال، نارنجی	oranj / orinj
oration	خطابه	oreyshen
orator	نطاق؛ خطیب	orater
oratory	شیوهسخنرانی؛ سخن پردازی	oratori
orb	کروی شدن	orb
orbit	مدار؛ دور گشتن	orbat
orchard	باغ؛ درختستان	orcherd
orchestra	ارکستر	orkastra
ordain	وضع کردن	ordeyn
ordeal	کار شاق	ordil
order	سفارش، سفارش دادن	order
orderly	نظمی؛ مصدر	orderli
ordinary	معمولی	ordaneri
ordnance	تخشایی	ordnans
ore	سنگ معدن	or
organ	عضو؛ آلت	organ
organic	ارگانیک	organik
organism	اندامگان؛ سازواره	organizam
organization	سازمان	organazeyshen
organizational	سازمانی	organazeyshenel
organize	سازماندهی کردن	organaiz
organizer	موسس؛ برگزار کننده	organaizer
orient	شرق؛ درخشندگی بسیار	orient
oriental	شرقی؛ مشرقی	orientel / orienel
orientation	جهت‌گیری	orienteyshen
origin	ریشه؛ اصل	orajan
original	اصلی	erijanel
originate	سرچشمه گرفتن	erijaneyt
originator	بنیانگذار؛ سبب ساز	erijaneyter
ornament	زینت؛ زیور	ornamant
orphan	یتیم؛ پدرمرده	orfan
orphanage	پرورشگاه؛ یتیم خانه	orfanaj
orthodox	فریور؛ راشد	orthadaaks
oscillation	نوسان	aasaleyshen
ossify	استخوانی کردن؛ استخوانی شدن	aasafai
ostensible	قابل نمایش	aastensabel
osteoporosis	پوکی استخوان	ostiaaperosis
ostrich	شتر مرغ	ostrich
other	دیگر	adher
otherwise	والا؛ وگرنه	adherwaiz
ounce	اونس	auns
our	مال ما	auer / aur
ours	ما	auerz / aarz
ourselves	خودمان	auerselvz / aarselvz
out	بیرون	aut
outbreak	شیوع	autbreyk
outcome	مآل؛ برآمد	autkam
outdated	قدیمی شده	autdeytid
outdoing	بس پردازی	autduing
outer	بیرونی	auter
outfit	لباس	autfit
outflow	بیرون ریزی؛ جریان بخارج	autflo
outing	گردش	auting
outlaw	یاغی؛ ممنوع ساختن	autlo
outlet	خروجی	autlet
outlive	بیشتر دوام آوردن	autliv
outlook	چشم‌انداز	autluk
outlying	پرت	autlaiing
outpost	پایگاه مرزی	autpost
output	خروجی	autput
outrage	خشم	autreyj
outrageous	عصبانی کننده؛ بیداد گرانه	autreyjas
outright	یکجا	autrait
outset	ابتدا	autset
outside	بیرون	autsaid
outsider	بیگانه	autsaider
outskirts	حومه	autskerts
outspoken	رو دار؛ بی پرده	autspokan
outstanding	برجسته	autstanding
outward	به‌طرف خارج	autwerd
outwards	به‌طرف خارج	autwerdz
outweigh	مهمتربودن از	autwey
oval	بادامی	ovel
ovarian	تخمدانی	overian
ovary	تخمدان	overi
oven	فر	avan
over	روی، تمام شده	over
overall	بالاپوش؛ لباس کار	overol
overbearing	منکوب گر؛ طاقت فرسا	overbering
overboard	بدریا؛ روی کشتی	overbord
overcoat	پالتو	overkot
overcome	غلبه کردن	overkam
overdue	سر رسیده؛ موعد رسیده	overdu
overflow	طغیان؛ آگندن	overflo
overhead	بالاسری	overhed
overhear	استراق سمع کردن	overhir
overlap	اشتراک داشتن؛ روی هم افتادن	overlap
overloaded	گرانبار؛ گران بار شدن	overlodid
overlook	نادیده گرفتن	overluk
overly	بیش از حد	overli
overnight	یک شبه	overnait
overseas	خارج از کشور	oversiz
oversee	نظارت کردن	oversi
overseer	سرکار	oversier
overshadow	تحت الشعاع قراردادن	overshado
overt	نپوشیده	overt
overthrow	سرنگونی؛ منقرض کردن	overthro
overthrown	منقرض؛ مظمحل	overthron
overture	آغاز عمل؛ پیش درآمد	overcher
overturn	واژگون کردن	overtern
overwhelm	غرق کردن	overwelm / overhwelm
overwhelming	طاقت فرسا	overwelming / overhwelming
ovum	تخم؛ تخمک	ovam
owe	مدیون بودن؛ بدهکار بودن	o
owing	مقروض	oing
owl	جغد؛ بوف	aul
own	خود، داشتن؛ داشتن	on
owner	مالک	oner
ownership	مالکیت	onership
ox	نره گاو	aaks
oxford	اکسفورد؛ آکسفورد	aaksferd
oxidation	ترکیب اکسیژن	aaksadeyshen
oxide	اکسید	aaksaid
oxygen	اکسیژن	aaksajan / aaksijan
oxygenated	اکسیژنه	aaksajaneytid
ozone	اوزون	ozon
pace	شلنگ؛ خرام	peys
pacific	صلح جو	pasifik
pacifier	آرام کننده	pasafaier
pacify	آرامش دادن	pasafai
pack	بسته بندی کردن	pak
package	بسته	pakaj / pakij
packet	بسته	pakat / pakit
pad	پد	pad
paddle	پارو زدن	padel
pagan	مشرک؛ غیر مسیحی	peygan
page	صفحه	peyj
pain	درد	peyn
pained	منقش	peynd
painful	دردمند؛ رنجور	peynfel
painless	بیدرد	peynlas
painstaking	رنجبر؛ زحمت کش	peynsteyking
paint	نقاشی کردن، رنگ	peynt
painter	نقاش	peynter
painting	نقاشی	peynting
pair	جفت	per
pal	رفیق شدن	pal
palace	کاخ	palas
palate	سق؛ حنک	palat / palit
pale	رنگ‌پریده؛ کم‌رنگ	peyl
pallet	ماله صافکاری	palat
pallid	کم رنگ	palad
palm	کف دست	paam / paalm
palpable	قابل لمس	palpabel
palsy	زمین گیری	polzi
pampered	نازپرورده	pamperd
pamphlet	جزوه	pamflat
pamphleteer	جزوه نویس	pamflatir
pan	گودال آب	pan
panama	پاناما	panamaa
pancake	نان ساجی	pankeyk
pane	قاب شیشه	peyn
panel	تخته کوبی کردن	panel
pang	سوزش ناگهانی	pang
panic	وحشت	panik
panoply	کاملا مجهز؛ سلاح کامل	panaapli
panorama	چشم انداز	panerama
panting	له له	panting
pantry	گنجه؛ دولاب	pantri
pants	شلوار	pants
papa	کشیش ناحیه	paapa
paper	کاغذ	peyper
paperwork	کاغذ بازی	peyperwerk
parade	رژه	pereyd
paradise	رضوان؛ عدن	peradais
paradoxical	مهمل نما	peradaaksikel
paraffin	پارافین	perafan
paragraph	پاراگراف	paragraf / peragraf
parallel	موازی	peralel
paralysis	فلج؛ لقوه	peralasas / peralisis
paralytic	فالج؛ افلیج	peralitik
paralyze	لنگ کردن؛ فلج کردن	peralaiz
parameter	پارامتر	peramater
parapet	دیواره	perapet
paraphrase	تاویل؛ تاویل کردن	perafreyz
paraplegia	فلج پا؛ پا فلجی	peraplijia
parasite	انگل؛ طفیلی	perasait
parasitic	انگلی؛ پارازیتی	perasitik
parcel	بسته؛ رزمه	paarsel
pardon	بخشش؛ آمرزش	paardan
parent	والد	perant
parental	والدین	perentel
parents	اولیاء؛ والدین	perants
parietal	جداری	peraiatel
paris	پاریس	peris / paris
parish	اهل محله	parish / perish
park	پارک، پارک کردن	paark
parking	پارکینگ	paarking
parliament	مجلس؛ کنگره	paarlamant
parliamentary	پارلمانی؛ مجلسی	paarlamenteri / paarlameneri
parole	عفو مشروط؛ قول مردانه	perol
parquet	محل ارکسترنمایش؛ باچوب فرش کردن	paarkey
parrot	طوطی	perat
parry	دورسازی	peri
part	قسمت	paart
partake	بهره داشتن؛ قسمت بردن	paarteyk
partial	موضعی؛ طرفدارانه	paarshel
partiality	جانب داری	paarshialiti
participant	حاضر؛ شریک	paartisapant
participate	شرکت کردن؛ مشارکت کردن	paartisapeyt
participation	مشارکت	paartisapeyshen
particle	ریزه؛ ذره	paartakel / paartikel
particular	خاص	pertikyaler / paatikyaler
particularly	به‌ویژه	paartikyalerli / pertikyalerli
partisan	پارتیزان	paartazan
partisanship	هواداری	paartazanship
partition	افراز؛ انقسام	paartishen
partly	یک چند؛ دریک جزء	paartli
partner	همکار، شریک	paartner
partnership	مشارکت	paartnership
part-time	پاره‌وقت	paarttaim
party	مهمانی، حزب	paarti
pas	گام رقص	paaz
pass	رد شدن، گذراندن	pas
passage	گذرگاه؛ قطعه متن	pasaj / pasij
passenger	مسافر	pasanjer
passion	شهوت؛ شور	pashen
passionate	پرشور	pashenat
passive	بیبهره؛ انفعالی	pasiv
passport	گذرنامه	pasport
password	رمز عبور	paswerd
past	گذشته	past
paste	خمیر؛ چسب	peyst
pastime	کاروقت گذران	pastaim
pastor	شبان	paster
pasture	چراندن؛ چراگاه	pascher
pat	به‌طور مناسب	pat
patch	وصله؛ جالیز	pach
patchwork	کارسرهم بندی؛ وصله دوزی	pachwerk
patent	منشور؛ امتیاز نامه	patant
paternal	از پدر	paternel
path	معبر	path
pathetic	تاثرآور	pathetik
pathfinder	بلد راه	pathfainder
pathogenic	مرض خیز	pathajenik
pathological	پاتولوژی	pathalaajikel
pathologist	مرض شناس؛ آسیب شناس	pathaalajast
